numero_dpe;date_etablissement_dpe;etiquette_dpe;etiquette_ges;type_batiment;annee_construction;type_installation_chauffage;hauteur_sous_plafond;surface_habitable_logement;code_postal_ban;code_departement_ban;coordonnee_cartographique_x_ban;coordonnee_cartographique_y_ban;nom_commune_ban;besoin_chauffage
2230E2197683M;24/09/2022;C;C;maison;;;2.5;89.8;30340;30;793074.89;6342007.22;Salindres;9202
2230E1618455M;13/07/2022;A;A;maison;1900;;2.7;67.5;30900;30;808338.17;6304748.26;NÃ®mes;5310.6
2230E3037289A;13/12/2022;E;E;appartement;1948;mixte (collectif-individuel);2.5;65;30000;30;811892.28;6306541.55;NÃ®mes;143444.2
2230E2471986P;21/10/2022;D;D;appartement;1964;collectif;2.5;62.5;30900;30;809018.34;6303649.94;NÃ®mes;5885.5
2230E1875504Z;19/08/2022;B;A;appartement;1984;individuel;2.5;102.1;30400;30;842462.29;6320138.15;Villeneuve-lÃ¨s-Avignon;6436.9
2230E2658983U;09/11/2022;D;D;maison;1956;;2.5;89.4;30200;30;830946.24;6341236.83;Bagnols-sur-CÃ¨ze;15074.8
2230E3107513Y;20/12/2022;D;D;appartement;1975;mixte (collectif-individuel);2.5;50;30430;30;807802.38;6358789.04;Barjac;68321.4
2230E2506601Y;25/10/2022;B;B;appartement;1948;mixte (collectif-individuel);2.5;61;30340;30;792909.23;6341949.67;Salindres;67046
2230E2930345U;06/12/2022;B;B;appartement;;individuel;2.5;61.3;30900;30;808987.35;6303383.12;NÃ®mes;4968.4
2230E1703454R;26/07/2022;C;B;maison;1983;;2.5;96.7;30320;30;817263.28;6308567.55;Marguerittes;7740.5
2230E1937361C;29/08/2022;C;A;maison;1966;;2.5;104.7;30200;30;836299.89;6344639.28;Saint-Ã‰tienne-des-Sorts;13730.4
2230E2473821E;21/10/2022;C;C;maison;;;2.4;176.1;30250;30;790240.48;6298092.65;Junas;15335.1
2230E1816676J;03/08/2022;G;G;appartement;1970;collectif;2.5;16.7;30000;30;811255.71;6306493.25;NÃ®mes;2804.3
2230E1621470L;15/07/2022;B;B;appartement;;individuel;2.5;61;30000;30;811581.75;6306073.75;NÃ®mes;254980.8
2230E2004642V;05/09/2022;E;B;appartement;;individuel;2.7;47.2;30300;30;832192.29;6302518.1;Beaucaire;5337.1
2230E3087882X;19/12/2022;C;A;maison;;;2.5;192.7;30114;30;800449.64;6299990.56;Nages-et-Solorgues;17352.6
2230E2245871W;29/09/2022;C;C;maison;2001;;2.5;73.4;30100;30;786735.52;6335904.25;AlÃ¨s;6384.1
2230E1677401Q;22/07/2022;D;D;appartement;1948;mixte (collectif-individuel);2.5;77;30340;30;792937.02;6341995.97;Salindres;161862.5
2230E2837621M;24/11/2022;B;A;maison;2007;;2.5;96.5;30220;30;795807.48;6275923.55;Aigues-Mortes;3608.1
2230E2668936P;10/11/2022;C;A;appartement;;individuel;2.4;56.7;30900;30;808780.77;6304943.98;NÃ®mes;2426.1
2230E2178773E;22/09/2022;B;A;maison;;;2.6;48.3;30820;30;801622.27;6303759.26;Caveirac;4565.8
2230E2307801U;05/10/2022;B;A;maison;;;2.5;100;30260;30;787324.36;6308312.98;Vic-le-Fesq;4426.3
2230E1855118X;16/08/2022;E;E;maison;1980;;3;126.5;30260;30;788513.93;6309956.86;Crespian;30748.9
2230E1822793Q;08/08/2022;C;A;appartement;1957;individuel;2.5;53;30000;30;808234.13;6305292.07;NÃ®mes;1355.4
2230E2177081C;21/09/2022;C;C;maison;1999;;2.5;66;30170;30;769326.83;6319077.3;Saint-Hippolyte-du-Fort;4587.5
2230E1594514R;12/07/2022;B;A;maison;2013;;2.5;138;30340;30;789925.48;6336683.09;Saint-Privat-des-Vieux;6164.9
2230E1890127K;17/08/2022;D;D;appartement;1948;mixte (collectif-individuel);2.5;83;30700;30;813337.05;6325540.58;UzÃ¨s;124111.1
2230E1980490X;02/09/2022;B;A;maison;;;2.5;143.9;30210;30;826646.57;6324395.37;ValliguiÃ¨res;18922.2
2230E2664674R;10/11/2022;D;B;appartement;1949;individuel;3.3;41.8;30000;30;809377.74;6305469.81;NÃ®mes;2679.4
2230E1679841M;22/07/2022;B;B;maison;;;2.4;160;30150;30;842860.63;6329077.79;Roquemaure;9189
2230E2403062R;10/10/2022;C;C;appartement;1969;mixte (collectif-individuel);2.4;90;30110;30;779901.81;6347065.25;Branoux-les-Taillades;70006
2230E1914766B;25/08/2022;C;B;appartement;1970;individuel;2.5;37.2;30240;30;792368.93;6269332.08;Le Grau-du-Roi;2088.6
2230E2028895Q;07/09/2022;D;D;maison;;;2.8;174;30160;30;790054.43;6355843.01;GagniÃ¨res;33085.4
2230E1647515E;19/07/2022;F;C;maison;;;2.5;58;30960;30;786792.43;6350843.09;Le Martinet;14651.2
2230E2164128X;19/09/2022;D;D;appartement;1999;individuel;2.5;49.5;30130;30;831358.96;6353078.41;Pont-Saint-Esprit;2789.3
2230E2160330V;21/09/2022;C;A;appartement;;individuel;3.2;19.4;30000;30;809568.47;6305563.35;NÃ®mes;791.6
2230E1630627Q;18/07/2022;E;C;appartement;;individuel;2.5;46;30900;30;808812.47;6303403.35;NÃ®mes;86415.7
2230E2163139W;21/09/2022;D;D;appartement;;individuel;2.5;72;30000;30;810400.68;6305524.3;NÃ®mes;268765.3
2230E2171887I;22/09/2022;C;C;maison;;;2.5;123.6;30000;30;810588.06;6303988.72;NÃ®mes;12292.2
2230E1616445E;15/07/2022;B;B;appartement;;individuel;2.5;49;30000;30;811581.75;6306073.75;NÃ®mes;222733.6
2230E2041261G;08/09/2022;C;C;maison;;;2.5;71;30320;30;817414.89;6309039.25;Marguerittes;4700.6
2230E3163217K;27/12/2022;B;A;maison;;;2.5;86.4;30132;30;811898.38;6299712.46;Caissargues;3661
2230E1772025A;03/08/2022;C;A;appartement;1996;individuel;2.5;17.7;30000;30;809527.15;6305654.77;NÃ®mes;175
2230E2778818V;22/11/2022;E;E;appartement;;individuel;2.9;45.3;30110;30;783136.88;6346132.18;La Grand-Combe;8330.6
2230E2099461S;14/09/2022;C;B;maison;;;2.5;87.8;30133;30;842206.97;6319646.61;Les Angles;9068.5
2230E1903976B;24/08/2022;C;C;appartement;;individuel;2.5;64;30600;30;803303.63;6289864.95;Vauvert;3273.6
2230E2447443Q;19/10/2022;C;C;appartement;2002;individuel;2.5;50.8;30340;30;789443.22;6340453.37;Saint-Privat-des-Vieux;13758.4
2230E1895704X;23/08/2022;B;A;appartement;;individuel;2.5;85;30260;30;780664.97;6313139.29;Quissac;2777
2230E2957330R;01/12/2022;D;D;maison;1996;;2.5;200;30330;30;827517.58;6336392.45;Tresques;21078.2
2230E2178541G;20/09/2022;C;A;maison;2001;;2.5;79;30190;30;797343.8;6322093.71;Brignon;6487
2230E2094353G;14/09/2022;D;D;immeuble;1948;mixte (collectif-individuel);2.5;;30200;30;829622.92;6340996.39;Bagnols-sur-CÃ¨ze;366556.3
2230E1899835U;23/08/2022;C;C;appartement;1948;mixte (collectif-individuel);2.5;76;30700;30;813350.43;6325657.84;UzÃ¨s;253774.5
2230E2480062F;22/10/2022;E;E;maison;;;3.1;76.7;30000;30;809446.84;6305885.33;NÃ®mes;17180.5
2230E2206473O;26/09/2022;E;C;appartement;1964;collectif;2.5;88;30900;30;807215.05;6303414.08;NÃ®mes;13343.3
2230E1732860R;28/07/2022;D;B;appartement;1949;individuel;2.6;59;30000;30;808893.05;6304443.11;NÃ®mes;5378
2200E3067135U;16/12/2022;D;B;appartement;;individuel;3.4;43;30000;30;809678.46;6304602.33;NÃ®mes;3173.5
2230E2452269G;19/10/2022;F;C;appartement;;individuel;2.5;25.5;30200;30;829430.44;6341807.77;Bagnols-sur-CÃ¨ze;4873.3
2230E2078036R;12/09/2022;C;A;appartement;;individuel;2.7;14.6;30900;30;808197.21;6303260.92;NÃ®mes;813.1
2230E2009893U;06/09/2022;A;A;maison;;;2.5;99.9;30660;30;794534.3;6291747.62;Gallargues-le-Montueux;2709.6
2230E2977287G;09/12/2022;D;B;appartement;;individuel;2.5;76.7;30900;30;807549.34;6303298.59;NÃ®mes;8281.9
2230E2388728J;13/10/2022;C;C;appartement;;collectif;2.9;10;30000;30;809642.94;6305070.73;NÃ®mes;478.9
2230E2292622Z;04/10/2022;B;A;maison;;;2.7;77.4;30121;30;796902.13;6294181.05;Mus;3389.9
2230E2380265W;10/10/2022;C;C;appartement;1995;collectif;2.5;75;30900;30;809009.45;6302990.84;NÃ®mes;1176.9
2230E2343695I;10/10/2022;D;D;appartement;1984;collectif;2.5;79;30900;30;807113.8;6304465.09;NÃ®mes;2364.7
2230E1506358B;01/07/2022;C;B;appartement;;individuel;2.5;54.6;30000;30;810605.96;6308041.39;NÃ®mes;3252.3
2230E1532606P;05/07/2022;E;C;immeuble;1700;individuel;2.8;;30200;30;823118.38;6341586.3;Sabran;20414.3
2230E3057301S;15/12/2022;E;E;appartement;1949;individuel;2.8;41.4;30000;30;809271.55;6304904.4;NÃ®mes;5990.2
2230E2219811O;27/09/2022;C;B;appartement;1949;individuel;3.3;17.1;30000;30;809387.65;6305454.65;NÃ®mes;1064.9
2230E2096539I;14/09/2022;C;C;appartement;;individuel;2.5;39.1;30000;30;811266.85;6305949.64;NÃ®mes;33142.5
2230E1601079E;13/07/2022;D;D;appartement;1957;individuel;2.5;79.8;30130;30;830981.26;6352517.83;Pont-Saint-Esprit;6113.5
2230E2231197M;28/09/2022;D;D;maison;1999;;2.5;66.4;30133;30;840625.01;6319366.23;Les Angles;6659.3
2230E2222110Z;27/09/2022;F;F;maison;;;2.7;135.7;30100;30;786444.08;6333965.06;AlÃ¨s;29130.1
2230E1918974X;23/08/2022;C;C;appartement;1994;individuel;2.5;31;30000;30;810305.63;6305554.99;NÃ®mes;1598.2
2230E2089083O;13/09/2022;C;C;maison;1994;;2.5;87.6;30390;30;834547.52;6311481.77;Aramon;4837
2230E1909042X;08/08/2022;C;C;appartement;1948;mixte (collectif-individuel);2.5;69;30200;30;829831.16;6341171.91;Bagnols-sur-CÃ¨ze;186319.7
2230E2785808R;22/11/2022;B;A;maison;;;2.5;48.6;30110;30;785243.42;6347584.38;Laval-Pradel;2202.8
2230E2514385I;26/10/2022;B;A;appartement;;individuel;2.5;46.5;30900;30;808970;6303067.18;NÃ®mes;781.9
2230E2015330X;06/09/2022;C;A;appartement;1949;individuel;2.5;36;30000;30;809539.79;6305738.23;NÃ®mes;1195.2
2230E2030592X;31/08/2022;D;B;maison;1965;;3;104.6;30133;30;842255.51;6319837.42;Les Angles;7326.3
2230E1608724F;13/07/2022;D;B;maison;;;2.5;86;30100;30;789371.21;6337129.24;AlÃ¨s;5937.3
2230E2081764B;13/09/2022;D;B;appartement;;individuel;2.5;45.4;30120;30;748624.71;6321649.55;Le Vigan;3671.3
2230E1628656V;18/07/2022;B;B;appartement;;individuel;2.5;49;30000;30;811519.29;6306012.19;NÃ®mes;254975.8
2230E1825021I;10/08/2022;D;B;maison;1980;;2.5;113.4;30330;30;817433.03;6335242.88;Saint-Laurent-la-VernÃ¨de;13297.7
2230E2303799W;05/10/2022;C;C;maison;1996;;2.5;82;30400;30;843579.41;6321713.14;Villeneuve-lÃ¨s-Avignon;4809
2230E2483678H;23/10/2022;C;C;appartement;;individuel;2.5;42.7;30230;30;814761;6301030.32;Bouillargues;13048.5
2230E1808591K;03/08/2022;F;F;appartement;1970;collectif;2.5;16.7;30000;30;811255.71;6306493.25;NÃ®mes;1430.1
2230E2788316D;23/11/2022;B;A;maison;2005;;2.5;90.9;30110;30;779625.75;6348424.6;Sainte-CÃ©cile-d'Andorge;5006.4
2230E1551394F;07/07/2022;C;A;appartement;2005;individuel;2.4;55;30000;30;811302.84;6305685.76;NÃ®mes;2042.8
2230E1717955K;27/07/2022;C;C;appartement;1964;collectif;2.5;88;30000;30;808891.08;6305806.43;NÃ®mes;6051.4
2230E1616455O;15/07/2022;B;B;appartement;;individuel;2.5;49;30000;30;811581.75;6306073.75;NÃ®mes;222733.6
2230E2423786T;17/10/2022;E;B;maison;;;2.5;107;30150;30;842345.53;6329465.49;Roquemaure;23628.2
2230E2395638D;12/10/2022;C;C;appartement;1998;individuel;2.5;63.1;30900;30;808990.19;6303062.97;NÃ®mes;1827.6
2230E2047034H;09/09/2022;C;A;appartement;2010;individuel;2.5;32;30000;30;810646.08;6305332.41;NÃ®mes;1339.8
2230E2140201Q;19/09/2022;D;D;appartement;1965;mixte (collectif-individuel);2.4;45;30200;30;828896.59;6341704.84;Bagnols-sur-CÃ¨ze;235057
2230E2306614D;14/09/2022;C;C;maison;2010;;2.5;79.2;30390;30;835626.33;6312713.55;Aramon;5202.7
2230E2540353C;26/10/2022;C;B;appartement;1948;mixte (collectif-individuel);2.5;65;30110;30;782236.32;6346840.25;La Grand-Combe;174823.1
2230E2412009U;17/10/2022;C;B;maison;1900;;2.5;170.8;30700;30;818867.1875;6328128;Saint-Victor-des-Oules;13693.1
2230E1893702X;17/08/2022;D;D;appartement;1948;mixte (collectif-individuel);2.5;86;30700;30;813296.06;6325554.74;UzÃ¨s;136228.9
2230E1713360R;26/07/2022;D;B;immeuble;1956;individuel;2.5;;30000;30;809855.04;6305217.21;NÃ®mes;120162
2230E1909805G;25/08/2022;D;D;immeuble;1948;mixte (collectif-individuel);2.5;;30200;30;829915.53;6341519.59;Bagnols-sur-CÃ¨ze;96264.7
2230E2915809S;05/12/2022;C;A;appartement;1977;individuel;2.5;21.7;30240;30;792268.49;6269671.22;Le Grau-du-Roi;605.1
2230E2146358L;20/09/2022;B;A;maison;;;2.5;90.6;30290;30;833573.78;6335549.06;Laudun-l'Ardoise;4869.6
2230E2981236D;09/12/2022;C;B;appartement;1948;mixte (collectif-individuel);2.5;55.2;30110;30;781167.47;6347279.95;La Grand-Combe;54499.7
2230E1887167O;22/08/2022;C;C;appartement;;individuel;3.4;50.7;30900;30;808726.62;6304789.35;NÃ®mes;3543.1
2230E2125536P;16/09/2022;C;B;appartement;1800;individuel;2.8;79;30000;30;809362.74;6305471.89;NÃ®mes;3794
2230E1943587O;30/08/2022;C;A;maison;2000;;2.5;161;30131;30;841542.18;6324658.52;Pujaut;10121.6
2230E1635256R;18/07/2022;A;A;maison;;;2.5;105;30730;30;796007.73;6310914.76;Saint-Mamert-du-Gard;2161.4
2230E2986467I;08/12/2022;C;A;maison;1949;;2.5;65.6;30420;30;795670.28;6299240.65;Calvisson;3556.6
2230E2285732Z;04/10/2022;D;D;appartement;1984;individuel;2.5;70;30200;30;828752.48;6342138.18;Bagnols-sur-CÃ¨ze;2944.4
2230E1750014L;31/07/2022;C;C;appartement;2011;individuel;2.5;69.5;30380;30;787527.4;6330898.9;Saint-Christol-lez-AlÃ¨s;2983.3
2230E2275566Z;03/10/2022;D;D;appartement;1989;mixte (collectif-individuel);2.5;49;30000;30;809865.32;6304436.96;NIMES;5789
2230E2833248H;26/11/2022;E;B;appartement;1949;individuel;2.8;31;30000;30;809569.63;6305584.37;NÃ®mes;3852.8
2230E2377944P;12/10/2022;C;C;maison;;;2.5;234.9;30670;30;794340.27;6294367.49;Aigues-Vives;34698.9
2230E1681950P;22/07/2022;C;A;maison;1975;;2.6;113.5;30870;30;799038.83;6303365.7;Clarensac;8656.2
2230E1876420F;19/08/2022;D;D;maison;;;3.1;79;30400;30;843219.9;6318782.06;Villeneuve-lÃ¨s-Avignon;9928.5
2230E1800653C;05/08/2022;C;B;appartement;;individuel;2.6;66.1;30100;30;787102.58;6337771.58;AlÃ¨s;7264.5
2230E2193563A;23/09/2022;C;C;appartement;2009;individuel;2.5;67.6;30140;30;781824.83;6327766.7;Boisset-et-Gaujac;3025.1
2230E2443964V;19/10/2022;C;C;immeuble;2002;individuel;2.5;;30340;30;789443.22;6340453.37;Saint-Privat-des-Vieux;14164.5
2230E2964288H;08/12/2022;A;A;maison;2020;;2.5;71.6;30630;30;817163.92;6349094.8;Saint-AndrÃ©-de-Roquepertuis;2452.4
2230E2402064H;10/10/2022;C;C;appartement;1969;mixte (collectif-individuel);2.4;76;30110;30;779901.81;6347065.25;Branoux-les-Taillades;28989.3
2230E1978527K;01/09/2022;E;B;maison;;;2.5;117.5;30580;30;804635.87;6339948.67;Bouquet;15826.1
2230E2888810H;01/12/2022;C;A;maison;;;2.5;174;30150;30;843903.96;6327151.95;Sauveterre;18388.8
2230E1561219C;07/07/2022;C;C;maison;1949;;2.5;160;30660;30;794273.36;6292117.75;Gallargues-le-Montueux;17063.9
2230E3072599C;15/12/2022;A;A;maison;2017;;2.5;125.8;30250;30;788643.32;6301229.36;Villevieille;3343.8
2230E1669788V;19/07/2022;C;C;appartement;1967;individuel;2.5;82;30000;30;811377.91;6305827.22;NÃ®mes;3776.6
2230E2146427C;19/09/2022;D;D;appartement;1965;mixte (collectif-individuel);2.4;48;30200;30;828896.59;6341704.84;Bagnols-sur-CÃ¨ze;235057
2230E1717146H;27/07/2022;D;B;maison;;;2.5;139;30170;30;772834.28;6317432.92;Conqueyrac;11701.1
2230E1717666H;27/07/2022;D;B;appartement;1981;individuel;2.5;43.4;30300;30;832627.87;6301976.43;Beaucaire;2268.8
2230E1754861W;01/08/2022;E;C;appartement;;individuel;2.5;65.3;30700;30;814000.53;6324802.82;UzÃ¨s;8575.2
2230E2766019O;21/11/2022;C;A;appartement;2006;individuel;2.5;84.3;30320;30;814125.15;6313933.74;Poulx;2838.9
2230E3134321A;23/12/2022;D;B;appartement;;individuel;2.5;73.6;30770;30;735147.62;6318294.07;Campestre-et-Luc;5356.5
2230E2023444Z;07/09/2022;C;C;appartement;;individuel;2.5;66.3;30340;30;789905.79;6336666.03;Saint-Privat-des-Vieux;12378.8
2230E2975430V;09/12/2022;G;C;maison;;;2.5;53;30570;30;755869.43;6329975.91;Val-d'Aigoual;13700.4
2230E1981341Q;02/09/2022;C;A;appartement;;individuel;2.5;29.4;30440;30;757309.07;6320353.2;SumÃƒÂ¨ne;1206.4
2230E3131988H;22/12/2022;E;E;appartement;;individuel;3;42.5;30480;30;784274.12;6340083.49;Cendras;10057.1
2230E1616533O;15/07/2022;B;B;appartement;;individuel;2.5;61;30000;30;811581.75;6306073.75;NÃ®mes;222733.6
2230E2768952J;21/11/2022;F;F;appartement;;individuel;2.5;50.8;30160;30;788183.98;6355067.36;BessÃ¨ges;8355.4
2230E2536996Z;27/10/2022;F;C;maison;1948;;2.6;95;30000;30;810012.17;6305504.11;NÃ®mes;22853.4
2230E2473683W;20/10/2022;C;C;appartement;1959;individuel;2.5;49;30100;30;786630.71;6338013.55;AlÃ¨s;2112
2230E2115198Z;15/09/2022;D;B;appartement;;individuel;2.4;33;30400;30;843770.59;6318818.98;Villeneuve-lÃ¨s-Avignon;9845.8
2230E3006990R;12/12/2022;B;A;appartement;;individuel;2.5;69.2;30133;30;840763.7;6319526.91;Les Angles;4292.3
2230E2160219O;14/09/2022;D;B;appartement;1948;individuel;2.5;145.2;30220;30;796530.09;6282284.15;Saint-Laurent-d'Aigouze;42640
2230E2126259K;16/09/2022;D;D;appartement;1948;mixte (collectif-individuel);2.5;74;30200;30;829622.92;6340996.39;Bagnols-sur-CÃ¨ze;356510.7
2230E2285183W;26/09/2022;C;C;appartement;2006;individuel;2.5;62.9;30650;30;835462.69;6320843.07;Rochefort-du-Gard;1757.2
2230E2434235Q;17/10/2022;C;B;appartement;1948;mixte (collectif-individuel);2.5;49;30000;30;811387.49;6305909.19;NÃ®mes;206271.7
2230E2871341K;30/11/2022;C;A;maison;2011;;2.5;70.5;30640;30;805909.39;6292007.23;Beauvoisin;3331.1
2230E2114857W;15/09/2022;A;A;maison;2015;;2.5;114;30121;30;796886.53;6294009.54;Mus;2253.4
2230E2896540P;01/12/2022;C;C;maison;;;2.5;146;30300;30;830995.6;6303178.65;Beaucaire;8757.2
2230E3056933O;15/12/2022;D;D;appartement;;individuel;2.8;44.9;30130;30;831623.56;6352074.28;Pont-Saint-Esprit;2327.8
2230E3073227G;16/12/2022;C;C;maison;;;2.5;135.4;30000;30;812683.99;6307296.97;NÃ®mes;12292.9
2230E2031887S;08/09/2022;B;B;appartement;;individuel;2.5;78;30320;30;817186.84;6308993.03;Marguerittes;53880.4
2230E3093006Z;20/12/2022;E;E;appartement;;individuel;3;57;30110;30;783236.5;6346056.16;La Grand-Combe;8585.1
2230E2140269G;19/09/2022;D;D;appartement;1965;mixte (collectif-individuel);2.4;69;30200;30;828896.59;6341704.84;Bagnols-sur-CÃ¨ze;235057
2230E1552983I;27/06/2022;D;B;maison;1987;;2.5;132.9;30220;30;796330.6;6281665.03;Saint-Laurent-d'Aigouze;13301.3
2230E2183458J;22/09/2022;C;B;maison;;;2.5;107.4;30800;30;815670.74;6287637.99;Saint-Gilles;11283.1
2230E3160693I;27/12/2022;D;B;appartement;1976;individuel;2.8;24;30000;30;809417.58;6304763.32;NÃ®mes;2108.6
2230E2668257M;10/11/2022;B;A;appartement;;individuel;2.7;83.7;30440;30;757300.99;6320422.24;SumÃ¨ne;1176.4
2230E3037401I;13/12/2022;D;D;appartement;1948;mixte (collectif-individuel);2.5;65;30000;30;811892.28;6306541.55;NÃ®mes;143444.2
2230E2066170H;11/09/2022;F;F;maison;;;3;63.8;30500;30;795607.67;6352669.48;Saint-Ambroix;11208.1
2230E1689562J;25/07/2022;C;B;appartement;;individuel;2.2;22.2;30100;30;785575.47;6336818.57;AlÃ¨s;1057.9
2230E2254725K;30/09/2022;B;A;appartement;;individuel;2.5;84.9;30250;30;787655.24;6301567.4;Villevieille;5120.5
2230E1899833S;24/08/2022;E;C;appartement;1956;individuel;2.7;71.4;30000;30;810602.23;6304810.62;NÃ®mes;12300.1
2230E2542946V;27/10/2022;C;A;appartement;;individuel;2.5;46;30900;30;806496.27;6305229.9;NÃ®mes;2419.1
2230E2363129U;11/10/2022;D;D;maison;;;3;175;30131;30;843348.88;6326105.31;Pujaut;19009.1
2230E2207854R;26/09/2022;D;D;appartement;1948;mixte (collectif-individuel);2.5;64;30200;30;829622.92;6340996.39;Bagnols-sur-CÃ¨ze;235457.3
2230E1908030Z;25/08/2022;F;C;maison;;;2.5;68;30580;30;815096.68;6335396.48;FontarÃ¨ches;14796
2286E2572501S;31/10/2022;C;C;maison;1996;;2.5;88.7;30000;30;809352.53;6304756.75;NÃ®mes;7569.1
2230E1773239S;03/08/2022;F;C;appartement;;individuel;2.7;51.4;30210;30;822073.89;6319887.21;Vers-Pont-du-Gard;9972.1
2230E2306118B;20/09/2022;D;D;appartement;1994;individuel;2.5;74;30133;30;840772.01;6319319.04;Les Angles;2516.1
2230E1832401E;11/08/2022;B;A;maison;2020;;2.5;101.4;30700;30;815812.96;6327657.4;Saint-Quentin-la-Poterie;2016.5
2230E2395824H;12/10/2022;C;C;appartement;1998;individuel;2.5;77.2;30900;30;808990.19;6303062.97;NÃ®mes;4206.5
2230E2335499C;09/10/2022;F;F;maison;;;2.9;91.9;30300;30;832037.53;6302443.08;Beaucaire;20749.9
2230E1623172X;16/07/2022;B;B;appartement;;individuel;2.5;52;30000;30;812132.08;6306238.82;NÃ®mes;130349.7
2230E2494394L;20/10/2022;C;C;appartement;1975;mixte (collectif-individuel);2.5;82;30130;30;830989.4;6351580.25;Pont-Saint-Esprit;112700.6
2230E1526751K;05/07/2022;C;C;appartement;;individuel;2.5;92;30000;30;811808.81;6305933.04;NÃ®mes;121973.8
2230E2323878D;07/10/2022;C;C;maison;;;2.5;64.3;30340;30;789912.37;6336630.79;Saint-Privat-des-Vieux;2785.4
2230E2216930T;27/09/2022;C;A;appartement;;individuel;3;33.4;30000;30;809137.89;6305360.55;NÃ®mes;1272.6
2230E2087561A;13/09/2022;E;E;appartement;1961;mixte (collectif-individuel);2.5;69;30200;30;829754.02;6341172.55;Bagnols-sur-CÃ¨ze;104733.8
2230E1715996B;26/07/2022;E;C;appartement;1956;individuel;2.5;42;30000;30;809855.04;6305217.21;NÃ®mes;5402
2230E2372193K;12/10/2022;E;E;appartement;1948;mixte (collectif-individuel);2.5;54;30000;30;811568.67;6305380.67;NÃ®mes;7668.6
2230E2980166Z;09/12/2022;D;B;appartement;1900;individuel;3.4;38.7;30000;30;809445.79;6305726.94;NÃ®mes;2834.6
2230E2499391Q;24/10/2022;C;A;appartement;;individuel;2.5;85;30900;30;808443.3;6304754.5;NÃ®mes;5213.5
2230E1718239I;27/07/2022;D;B;appartement;;individuel;2.5;20;30000;30;809915.54;6304208.44;NÃ®mes;1648.7
2230E1739105W;29/07/2022;C;A;maison;;;2.3;56.9;30660;30;794238.06;6291671.32;Gallargues-le-Montueux;2407.3
2230E2103346D;14/09/2022;D;D;appartement;1948;mixte (collectif-individuel);2.5;64;30200;30;829622.92;6340996.39;Bagnols-sur-CÃ¨ze;215939.9
2230E2076816T;12/09/2022;E;E;appartement;1949;individuel;2.7;69.6;30410;30;793255.79;6353060.45;Meyrannes;12358.6
2230E1565727M;08/07/2022;D;B;appartement;;individuel;2.6;61;30160;30;787031.19;6355591.2;BessÃ¨ges;6190.4
2230E2304147G;05/10/2022;C;C;appartement;1996;individuel;2.5;68;30400;30;843579.41;6321713.14;Villeneuve-lÃ¨s-Avignon;3011.5
2230E1762884L;01/08/2022;D;D;appartement;1990;individuel;2.9;28.7;30900;30;806372.93;6303016.16;NÃ®mes;2961.6
2230E2496858F;24/10/2022;C;A;appartement;;individuel;2.5;72.7;30200;30;833813.85;6347021.28;VÃ©nÃ©jan;2039.3
2230E3131863M;22/12/2022;E;E;maison;;;2.5;72;30000;30;810544.38;6304288.92;NÃ®mes;13730.4
2230E2277356V;03/10/2022;D;B;appartement;;individuel;2.7;36.7;30000;30;809479.38;6305140.92;NÃ®mes;2336
2230E2163011Y;21/09/2022;D;D;appartement;;individuel;2.5;56;30000;30;810400.68;6305524.3;NÃ®mes;268765.3
2230E2605201G;03/11/2022;C;B;maison;1990;;2.5;155.5;30000;30;812078.73;6307142.33;NÃ®mes;9341.6
2230E2020881K;07/09/2022;C;B;maison;;;2.6;68.3;30330;30;826400.86;6332437.62;Gaujac;4766.9
2230E1655270L;20/07/2022;C;B;appartement;;individuel;2.5;61;30000;30;811552.01;6306114.01;NÃ®mes;93143
2230E1936988T;29/08/2022;B;A;maison;2003;;2.5;98.4;30740;30;799291.09;6288169.02;Le Cailar;5470.1
2230E2730076D;15/11/2022;C;C;appartement;1980;individuel;2.5;52;30130;30;831378.92;6352247.08;Pont-Saint-Esprit;1385
2230E2228617G;20/09/2022;D;D;appartement;1966;mixte (collectif-individuel);2.5;73;30700;30;813191.29;6324642.16;UzÃ¨s;221092.9
2230E1696503I;20/07/2022;C;C;maison;1970;;2.7;179;30900;30;805898.2;6304972.17;NÃ®mes;17431.2
2230E3059932X;15/12/2022;C;A;maison;;;2.6;71.4;30100;30;786862.28;6339585.88;AlÃ¨s;9298.7
2230E2034186D;08/09/2022;D;B;maison;;;2.4;91.3;30700;30;815520.23;6328533.96;Saint-Quentin-la-Poterie;11764.1
2230E2161522R;21/09/2022;B;A;maison;2011;;2.5;93;30980;30;800139.48;6301683.76;Langlade;4754.7
2230E1517451S;04/07/2022;D;B;maison;1980;;2.5;80.5;30310;30;797879.16;6295061.81;VergÃ¨ze;14330.8
2230E1616442B;15/07/2022;B;B;appartement;;individuel;2.5;61;30000;30;811581.75;6306073.75;NÃ®mes;222733.6
2230E2724219W;17/11/2022;D;D;maison;;;2.5;305.8;30700;30;818366.96;6330190.04;Vallabrix;41103.5
2230E2421039C;17/10/2022;E;D;appartement;1970;collectif;2.5;84.9;30400;30;842978.41;6319695.2;Villeneuve-lÃ¨s-Avignon;9898.3
2230E1556794X;07/07/2022;C;C;appartement;2015;individuel;2.5;60;30380;30;787701.48;6330875.75;Saint-Christol-lez-AlÃ¨s;2553.6
